user,date,text,favorite_count,busqueda
ChartMill,Fri Oct 16 21:28:03 +0000 2020,The technical rating of $BBVA.MC is bad and it also does not present a quality setup at the moment.… https://t.co/RUgqMMHCbJ,0,busqueda
RiskyCapitalism,Fri Oct 16 21:14:46 +0000 2020,"I'm considering 

Long 1 cent &gt; daily high

$HSBC 
$BDX
$ECL 
$SAN 
$ALL
$ING
$FCAU
$HLT
$PPL
$GDRX
$BBVA 
$MT… https://t.co/v4G2zg2i6G",0,busqueda
BlancaSanjuanbe,Fri Oct 16 21:01:23 +0000 2020,RT @bbvaOpenMind: 🌱 Nature has always been a source of inspiration for human beings. The race is now on to artificially replicate the photo…,0,busqueda
lilyoshi777,Fri Oct 16 21:00:12 +0000 2020,RT @RooseveltMadeit: I like BBVA cause they instant,0,busqueda
Fernand34953952,Fri Oct 16 20:53:32 +0000 2020,RT @bbvaOpenMind: 🌱 Nature has always been a source of inspiration for human beings. The race is now on to artificially replicate the photo…,0,busqueda
jewbtastic,Fri Oct 16 20:45:36 +0000 2020,"@gnarly_rae The post office I understand, but what did the bbva do",1,busqueda
Mystic__SI,Fri Oct 16 20:44:55 +0000 2020,RT @wfootballers: LIGA BBVA ? Ozil leaves Werder Bremen | drkid.net http://ow.ly/19cZJ7,0,busqueda
GalvanHomes,Fri Oct 16 20:37:08 +0000 2020,"Stunning Luxury Rental with a gorgeous view! https://t.co/ZsZHe5HYxt
#BBVA",0,busqueda
ElWeydelaMoto,Fri Oct 16 20:02:54 +0000 2020,@BBVARe_mx @gaby_cam @bbva Gaby.... https://t.co/E09OvjrFWb,1,busqueda
bbvaOpenMind,Fri Oct 16 20:00:15 +0000 2020,🌱 Nature has always been a source of inspiration for human beings. The race is now on to artificially replicate the… https://t.co/L5EwhS5Ekk,2,busqueda
42Stocks,Fri Oct 16 19:58:13 +0000 2020,"https://t.co/WoXPkQDQMm

2020-OCT-16 3:55pm
$BBAR Banco BBVA Argentina S.A ADS up 7.44% = $87.9 million gain. At $1… https://t.co/u9e9uIKJQu",0,busqueda
wallabycard,Fri Oct 16 19:46:27 +0000 2020,"Today In Digital-First Banking: Mizuho Bank, JCB, Fujitsu Will Test Blockchain ID Tech; BBVA Takes Part In UK Ins... https://t.co/LWBJ7Pn32A",0,busqueda
ANT159694954,Fri Oct 16 19:29:08 +0000 2020,"https://t.co/KidVB7PjM5
WONDER HOW THE HELPING SWIFT ?? BBVA WAS USING RIPPLE ??
April 2017, Ripple announced that… https://t.co/cGpJi22Ezf",1,busqueda
McClain_on_NFL,Fri Oct 16 19:29:05 +0000 2020,"RT @HoustonChron: BBVA’s Rosilyn Houston on growth, mentoring and impact https://t.co/2mfJ7KsZfr",0,busqueda
e_nterdiscipl,Fri Oct 16 19:22:15 +0000 2020,RT @garypalmerjr: BBVA Participates In Pilot For Instant Payments In Britain https://t.co/7mupPzkxic | #Payments #Technology #FinTech #Busi…,0,busqueda
garypalmerjr,Fri Oct 16 19:21:16 +0000 2020,BBVA Participates In Pilot For Instant Payments In Britain https://t.co/7mupPzkxic | #Payments #Technology #FinTech… https://t.co/eSU5PDtbOw,1,busqueda
AnilSha38998482,Fri Oct 16 19:07:03 +0000 2020,BBVA’s Rueda to speak at Banking Automation Summit https://t.co/5HQBTXweCe https://t.co/W758OcFvLN,0,busqueda
hot_eaa,Fri Oct 16 18:58:58 +0000 2020,@bbva has good news for #Fleet shoppers https://t.co/quvtnwMO8G,0,busqueda
A_Lusardi,Fri Oct 16 18:48:32 +0000 2020,RT @bbvaedufin: 📹5 Fundamental Concepts Behind Financial Planning https://t.co/lvYC2ws8DE via @A_Lusardi,0,busqueda
BigDaddyTxMx,Fri Oct 16 18:45:21 +0000 2020,"Hoy estuve at BBVA stadium checking sound and lights..
#Savage https://t.co/d45J5hVhqN",0,busqueda
BBVAMomentum,Fri Oct 16 18:30:20 +0000 2020,🌱The current environment is conducive for impact entrepreneurs to make a societal difference by alleviating the pro… https://t.co/uryfidAnas,0,busqueda
Fernand34953952,Fri Oct 16 18:30:13 +0000 2020,"RT @bbvaOpenMind: Microplastics can now be found on land, in our oceans, and even in the air we breathe. 😱 We talk about the natural allies…",0,busqueda
paymentsjournal,Fri Oct 16 18:30:03 +0000 2020,"Since the onset of various #RTP systems being launched on a regular basis across various global markets, there were… https://t.co/bMy9HqAxBQ",0,busqueda
HoustonChron,Fri Oct 16 18:29:20 +0000 2020,"BBVA’s Rosilyn Houston on growth, mentoring and impact https://t.co/2mfJ7KsZfr",2,busqueda
RPAutomation,Fri Oct 16 18:27:38 +0000 2020,"BBVA's Rueda to speak at Banking Automation Summit - https://t.co/kADHTb4QWm #IntelligentRPA 
https://t.co/1YfsuEvOep",0,busqueda
KikeFinanzas,Fri Oct 16 18:21:40 +0000 2020,RT @alvaroortiz1968: A pleasure to share our Big Data job at the ECB workshop on High Frequency Data... and now with you !!! We will contin…,0,busqueda
themoneycloud,Fri Oct 16 18:16:49 +0000 2020,BBVA’s Rueda to speak at Banking Automation Summit https://t.co/g9nDvjqy4r,0,busqueda
ILoveBooks786,Fri Oct 16 18:10:02 +0000 2020,RT @Finextra: Company announcement: Almost 800 coders will compete in BBVA 2020 hackathon https://t.co/qLJZKfy2bj #fintech,0,busqueda
LianLi53108135,Fri Oct 16 18:06:01 +0000 2020,"RT @bbvaOpenMind: Microplastics can now be found on land, in our oceans, and even in the air we breathe. 😱 We talk about the natural allies…",0,busqueda
Morrie2019,Fri Oct 16 17:52:06 +0000 2020,"RT @File411: USA v $617,524.24 fr BBVA Compass Bank Account XXX in the Name of Francisco Ley Tan
2017n- a Grand Jury returned a superseding…",0,busqueda
techtrendingnow,Fri Oct 16 17:45:38 +0000 2020,"RT @SaeedBaygi: Today In Digital-First #Banking: Mizuho #Bank, JCB, Fujitsu Will Test #Blockchain ID #Tech; BBVA Takes Part In UK Instant P…",0,busqueda
SaeedBaygi,Fri Oct 16 17:45:33 +0000 2020,"Today In Digital-First #Banking: Mizuho #Bank, JCB, Fujitsu Will Test #Blockchain ID #Tech; BBVA Takes Part In UK I… https://t.co/ykOc1VJsSH",0,busqueda
ecology_tweets,Fri Oct 16 17:40:20 +0000 2020,"RT @bbvaOpenMind: Microplastics can now be found on land, in our oceans, and even in the air we breathe. 😱 We talk about the natural allies…",0,busqueda
Future_Assetmgt,Fri Oct 16 17:36:01 +0000 2020,BBVA Pilots SWIFT gpi Integration into UK’s FPS Infrastructure https://t.co/OEQ9ZId3gG #wealthtech #regtech,0,busqueda
bbvaOpenMind,Fri Oct 16 17:30:26 +0000 2020,"Microplastics can now be found on land, in our oceans, and even in the air we breathe. 😱 We talk about the natural… https://t.co/RnvRHjHVEJ",2,busqueda
Galaxy_History,Fri Oct 16 17:18:27 +0000 2020,"On this day in 2016, Alan Gordon scored the game's only goal as the Galaxy beat Houston Dynamo at BBVA Compass Stad… https://t.co/xTphDAQBfO",20,busqueda
bbva,Fri Oct 16 17:18:06 +0000 2020,#BBVA is committed to instant payments by participating in a pilot to integrate payments from the SWIFT gpi network… https://t.co/ZtNvgeUf6K,1,busqueda
Atul_AI,Fri Oct 16 17:08:33 +0000 2020,BBVA’s Rueda to speak at Banking Automation Summit https://t.co/9r21aWCmaq https://t.co/pH8MlTIN8m,0,busqueda
seventeen732,Fri Oct 16 17:02:51 +0000 2020,@roka_2004 @gaby_cam @bbva Pagafantas y creepy,4,busqueda
janicepaulma,Fri Oct 16 17:01:16 +0000 2020,"International Sensation BTS Performs ""Dynamite"" - The 2020 Billboard Mus... https://t.co/nBaz5TW2J0 via @YouTube ""N… https://t.co/RCOAkHgsuC",0,busqueda
