user,date,text,favorite_count,busqueda
wallabycard,Fri Oct 16 19:46:27 +0000 2020,"Today In Digital-First Banking: Mizuho Bank, JCB, Fujitsu Will Test Blockchain ID Tech; BBVA Takes Part In UK Ins... https://t.co/LWBJ7Pn32A",0,BBVA
ANT159694954,Fri Oct 16 19:29:08 +0000 2020,"https://t.co/KidVB7PjM5
WONDER HOW THE HELPING SWIFT ?? BBVA WAS USING RIPPLE ??
April 2017, Ripple announced that… https://t.co/cGpJi22Ezf",1,BBVA
McClain_on_NFL,Fri Oct 16 19:29:05 +0000 2020,"RT @HoustonChron: BBVA’s Rosilyn Houston on growth, mentoring and impact https://t.co/2mfJ7KsZfr",0,BBVA
e_nterdiscipl,Fri Oct 16 19:22:15 +0000 2020,RT @garypalmerjr: BBVA Participates In Pilot For Instant Payments In Britain https://t.co/7mupPzkxic | #Payments #Technology #FinTech #Busi…,0,BBVA
garypalmerjr,Fri Oct 16 19:21:16 +0000 2020,BBVA Participates In Pilot For Instant Payments In Britain https://t.co/7mupPzkxic | #Payments #Technology #FinTech… https://t.co/eSU5PDtbOw,1,BBVA
AnilSha38998482,Fri Oct 16 19:07:03 +0000 2020,BBVA’s Rueda to speak at Banking Automation Summit https://t.co/5HQBTXweCe https://t.co/W758OcFvLN,0,BBVA
hot_eaa,Fri Oct 16 18:58:58 +0000 2020,@bbva has good news for #Fleet shoppers https://t.co/quvtnwMO8G,0,BBVA
A_Lusardi,Fri Oct 16 18:48:32 +0000 2020,RT @bbvaedufin: 📹5 Fundamental Concepts Behind Financial Planning https://t.co/lvYC2ws8DE via @A_Lusardi,0,BBVA
BigDaddyTxMx,Fri Oct 16 18:45:21 +0000 2020,"Hoy estuve at BBVA stadium checking sound and lights..
#Savage https://t.co/d45J5hVhqN",0,BBVA
BBVAMomentum,Fri Oct 16 18:30:20 +0000 2020,🌱The current environment is conducive for impact entrepreneurs to make a societal difference by alleviating the pro… https://t.co/uryfidAnas,0,BBVA
Fernand34953952,Fri Oct 16 18:30:13 +0000 2020,"RT @bbvaOpenMind: Microplastics can now be found on land, in our oceans, and even in the air we breathe. 😱 We talk about the natural allies…",0,BBVA
