user,date,text,favorite_count,busqueda
la_manius,Sat Oct 17 20:24:17 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,BBVA
alonsoescareno,Sat Oct 17 20:22:47 +0000 2020,@pepi_ens @BBVARe_mx @BBVA_Mex Cuenta el chisme,0,BBVA
lingber_,Sat Oct 17 20:20:34 +0000 2020,"RT @lacha: Pago una docena de chorizos a quien me de un teléfono y me atienda de una el reputo BBVA con todos sus toquen, numerales y 0800…",0,BBVA
Analopez131313,Sat Oct 17 20:20:07 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,BBVA
herero36,Sat Oct 17 20:20:06 +0000 2020,"RT @BBVAInnovation: Estamos a punto de comenzar con el último keynote del día, ""Monólogos Científicos"" 💙, no te puedes perder la participac…",0,BBVA
JorgeAle88,Sat Oct 17 20:20:05 +0000 2020,"RT @ChevaKevin: 🤠 La Franja: en busca del repechaje 🎽

Hoy el @ClubPueblaMX 🎽 visita a @Rayados 🤠 en el Estadio BBVA a las 5:06 pm en el pa…",0,BBVA
Melmoht,Sat Oct 17 20:19:56 +0000 2020,RT @Joaqun22544569: BBVA. Tomar nota.,0,BBVA
brendsjz,Sat Oct 17 20:19:55 +0000 2020,"RT @teffcode: Hola !!! Hoy estuve compartiendo una charla en la Hackathon de @bbva Latinoamérica y les prometí compartirles los slides, así…",0,BBVA
herero36,Sat Oct 17 20:19:27 +0000 2020,"RT @BBVAInnovation: ¿Existen los súper héroes en la vida real? Helena González nos cuenta sobre esto. No, no lo inventó Marvel o DC, sino d…",0,BBVA
mariarsuaga,Sat Oct 17 20:19:06 +0000 2020,"RT @BBVAInnovation: Estamos a punto de comenzar con el último keynote del día, ""Monólogos Científicos"" 💙, no te puedes perder la participac…",0,BBVA
