,user,date,text,favorite_count,busqueda
99,basidizuri,Sat Oct 17 13:39:10 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,busqueda
205,JWallac74147244,Sat Oct 17 13:38:17 +0000 2020,"RT @EstulinDaniel: 🤣🤣😂😂🤣🤣😂😂🤣🤣😂😂🤣🤣😂 Periodismo serio... patrocinado por Banco Santander, BBVA, el Pais, etc etc. Isabel Gemio: “Ahora más qu…",0,busqueda
206,mcoutinhosscvut,Sat Oct 17 13:19:35 +0000 2020,"@bbrune23 Eso es una HIjoeputada ahora aqui en Vzla el banco BBVA también aplicaría eso a los extranjeros, un desca… https://t.co/LWvEzicPMt",1,busqueda
207,NacionalistaLeo,Sat Oct 17 13:14:45 +0000 2020,"RT @EstulinDaniel: 🤣🤣😂😂🤣🤣😂😂🤣🤣😂😂🤣🤣😂 Periodismo serio... patrocinado por Banco Santander, BBVA, el Pais, etc etc. Isabel Gemio: “Ahora más qu…",0,busqueda
208,kiketo14,Sat Oct 17 13:09:32 +0000 2020,"RT @EstulinDaniel: 🤣🤣😂😂🤣🤣😂😂🤣🤣😂😂🤣🤣😂 Periodismo serio... patrocinado por Banco Santander, BBVA, el Pais, etc etc. Isabel Gemio: “Ahora más qu…",0,busqueda
209,VctorVictoria3,Sat Oct 17 13:08:03 +0000 2020,"RT @EstulinDaniel: 🤣🤣😂😂🤣🤣😂😂🤣🤣😂😂🤣🤣😂 Periodismo serio... patrocinado por Banco Santander, BBVA, el Pais, etc etc. Isabel Gemio: “Ahora más qu…",0,busqueda
210,Saleesca,Sat Oct 17 13:02:27 +0000 2020,"@gaby_cam Normalmente no son del banco, sino que contratan a otra empresa que se dedica a eso. Lo sé porque mi hija… https://t.co/MIrY77awYH",0,busqueda
211,PaulAvalos81,Sat Oct 17 12:55:57 +0000 2020,"RT @SandroyMarielen: @paolobenza Igual con BBVA, lo pedí 3 veces , a la tercera tuve que acercarme al banco a preguntar si aplicaba , recié…",0,busqueda
212,armandogba73,Sat Oct 17 12:23:32 +0000 2020,"RT @dhgcorrecaminos: Pues habrá q ir buscando otro banco, a mi m da igual, pero x ejemplo mi madre no sabe manejar un cajero y no le vais a…",0,busqueda
213,Elizza0606,Sat Oct 17 11:51:42 +0000 2020,RT @Elnomada9: #Peru en el banco BBVA le están cobrando 50 soles mensuales “de mantenimiento “ a los extranjeros.... qué tal? @MORCILLA17,0,busqueda
